pdv,CouponDiscountAmt,CouponDiscountAmt_LAG_1,CouponDiscountAmt_LAG_2,CouponDiscountAmt_LAG_3,CouponDiscountAmt_LAG_4,CouponDiscountAmt_LAG_5,CouponDiscountAmt^2,CouponDiscountAmt_LAG_1_POLY_2,CouponDiscountAmt_LAG_2_POLY_2,CouponDiscountAmt_LAG_3_POLY_2,CouponDiscountAmt_LAG_4_POLY_2,CouponDiscountAmt_LAG_5_POLY_2
04042,1.1599208418021161e-28,1.429119622542561e-31,9.697393156353445e-33,-3.4492892796386697e-31,-3.575379053328539e-32,1.0567870067202468e-31,3.43723012377764e-33,7.895970829724555e-34,-1.1271832166268927e-34,-1.7013736820776446e-34,-1.3166392581627309e-36,-6.728136476181489e-35
04043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04051,-1.310772923564737e-31,2.6446348837926045e-32,-2.8607280556196484e-32,1.0105848624997525e-32,-2.3620597351635746e-32,1.9846048949459581e-32,8.391120742262816e-34,-3.4275943660917472e-34,7.219437383121281e-35,3.580867985001984e-34,-5.891610981076326e-35,-5.107577619367437e-35
04058,-1.1192151533132616e-20,-4.403942380528728e-21,9.194760596844727e-21,-8.122786052590256e-23,4.294067335471275e-22,-1.8990969271017188e-23,2.8974852826665035e-24,3.380619377613332e-33,2.2824011797335605e-34,1.0738866889978485e-35,-7.818307041043962e-36,3.096059739500055e-36
04068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06056,2.8658843712440896e-31,2.985796651518046e-32,3.871368339764641e-33,-6.702380619514347e-33,5.6918374375117374e-33,-1.9474435239934088e-33,-2.0414593234121045e-33,-7.09911998716835e-33,-1.5979202011361041e-34,-5.787170701794585e-34,-1.0291293562225264e-34,-4.410876649875442e-35
06128,-1.7960576904431364e-28,2.470128781298594e-31,1.1663596329728806e-31,-1.3248179984504772e-32,4.969093090542172e-32,6.684406169895728e-33,-5.818237132449154e-33,4.61223103685562e-33,3.7328505896972696e-33,3.1376730424354344e-33,2.2883828827613697e-33,-5.033224262125552e-33
06147,1.0760656393823754e-29,1.4237619247993096e-30,-8.57101538109994e-31,3.112046230929375e-32,-2.3442983292621157e-31,-9.7000613280931e-32,1.5979535588260997e-32,9.130629223349057e-34,1.683242092653014e-33,1.3832937853822948e-33,-1.166324248666276e-34,4.676591883198043e-34
06159,5.459741173818708e-29,2.56382483369186e-31,-1.4639622181580166e-30,3.5529202165439696e-31,1.3709936371324058e-31,-9.8972248036409e-32,6.109074495122222e-32,1.69275437261938e-32,-1.13799749202584e-33,3.937432397353657e-34,1.1559457877991098e-33,-3.5421525587152422e-34
06187,-4.596047733777975e-31,-2.771519382962097e-32,-2.2357058856134484e-32,-9.080594855068228e-33,-6.887500435366881e-33,1.986817373793525e-33,1.8067338591312372e-34,4.544760917177084e-34,-5.203865650148603e-35,5.138217222436303e-35,1.2927187379016386e-34,5.643724733619326e-35
06201,5.101730722621913e-31,-4.5334855066902354e-33,5.73125253722381e-33,-3.081379193740499e-33,-1.9672448803418363e-33,5.367908912893293e-33,-1.490062041291678e-33,-2.3632021021920354e-33,1.1893752740867913e-34,6.793157116933376e-35,-3.044237924003115e-34,-1.1470617344031246e-34
06205,-1.789449157489702e-29,-7.319331706923512e-31,1.344178085139671e-31,5.638045846134116e-32,4.4667854953890527e-32,-1.5766660756227937e-31,-6.914333513452442e-33,2.2674732678537233e-32,2.076925649462098e-33,-8.546620427620589e-34,8.622751613679134e-34,-8.04430094246705e-34
06228,-9.928000260275152e-30,1.5554681481537892e-32,-8.478369353248274e-32,-3.533509179730514e-32,-9.763764892632269e-33,-1.6563127845524506e-32,6.743990405860825e-33,7.137711608935303e-34,-3.100283200319836e-34,3.7882183087391134e-36,4.476466443790901e-34,-2.5374701970253426e-35
06231,4.955998607641532e-29,9.129241419796317e-32,1.0462833605252623e-33,1.9458405941485387e-31,8.085168114913379e-32,-2.4106634296935773e-32,-9.79343304616826e-33,2.9919254059108694e-33,5.142062291867781e-34,-6.310557285859876e-34,3.627639610531792e-34,2.477233038674213e-34
06322,-2.1535945066712487e-29,2.3830945771159715e-30,9.615319979351622e-30,2.309042948154485e-30,6.444323718744414e-31,-2.176056062710701e-30,1.6014395661148436e-30,4.2005566522597554e-30,-1.137710245909001e-32,5.806913357109556e-33,1.1469562880515513e-32,-8.882163025026566e-33
06423,9.852889424886637e-31,5.749266797975847e-32,-8.37829815735054e-32,3.920142854047177e-33,-2.612561655165638e-32,7.677584242754647e-32,-1.657410084058506e-32,-3.853671604719215e-33,3.821530597516273e-34,1.9303252830806466e-34,-9.243585476472231e-34,-5.2953663773020275e-34
06449,-3.1095201509471216e-28,-1.7290827515855664e-30,-1.9598713704389794e-30,3.4673200573235035e-31,6.432906834101227e-31,-1.663922183064541e-30,-1.0199758136923085e-31,-2.883784158616271e-33,-8.672165793478153e-34,6.97301783572575e-34,2.8562112147741825e-33,1.0928489401826586e-33
06498,-1.2280877270774055e-30,-2.04224868510592e-34,6.27619671412002e-33,2.6674555061708987e-32,-3.06943039412581e-32,-6.101531119997939e-33,-3.895386505958383e-34,1.76400951501739e-34,2.8324222993705626e-34,-4.342665265394596e-34,6.996396315465731e-34,7.648407285657435e-34
06503,3.1894043252088023e-29,3.002423071797726e-30,-8.731221216714289e-31,1.4721241268915188e-31,-6.604579958178797e-32,2.166733783981016e-31,-1.639439136852833e-31,5.21762813493425e-33,1.4518750940692953e-33,-5.6819080287660896e-33,-3.544130377263526e-33,-1.0543514726885897e-32
06536,-8.658445431081716e-31,2.6114249149234916e-30,1.2339697088299132e-31,8.162998712370265e-31,4.3792601110432794e-31,-1.5996698407945276e-31,-1.792628861466838e-31,1.940170863184576e-32,2.5201304098648045e-34,-7.71659289879501e-34,-3.2561472755386457e-34,-4.119755960067774e-33
06568,9.674030033514956e-32,-3.2831840691587194e-32,3.474255056019779e-32,-1.2211930654789986e-32,-1.848224339956444e-32,3.507562167490887e-33,2.9633618290800258e-33,1.2426974410182676e-33,1.3886182907531974e-34,7.792656754686372e-34,-1.7458518758734148e-33,2.2672613211813933e-33
06619,-2.54327782961446e-31,3.43981751127303e-31,4.722747814926524e-32,-2.8908837983284555e-33,-3.8987197614041377e-32,-5.47346693632498e-33,-2.4352690076894166e-33,-4.402217194370529e-33,-3.2388120122904266e-33,-2.2430517879361418e-33,6.6805774896310105e-34,-8.37099836149552e-34
06635,-1.8286924035355071e-28,4.7841464083436e-31,5.836709473732045e-31,2.4004579764869786e-31,-1.7826173388123952e-31,-4.3269828487214125e-31,-5.062332846100485e-32,-2.1010267226731109e-32,1.910386088083844e-33,-4.708924575056359e-33,-8.734495894376357e-34,7.103189834856578e-34
06652,1.2382103230281512e-30,-3.576485470906855e-30,-1.9738533244843886e-32,1.0877636512195988e-31,-1.7628318568883476e-30,7.263962431619659e-31,-4.642021839651314e-31,-3.774312777245902e-32,6.935632325441619e-34,-1.9593441729478404e-33,4.737400188003124e-33,5.9306113866937834e-33
06661,4.120319782039826e-31,8.696522373759742e-33,-9.510868183616827e-32,-3.864680829999399e-32,-1.9235487663045515e-32,-4.6718070805584704e-33,-1.0168356188816405e-32,3.63392353690804e-33,-1.2131707996345235e-34,2.0841160336403773e-33,2.200205100177125e-34,-1.2187018232288593e-33
06678,4.509340245615692e-30,1.1596893244980705e-31,-6.915646670831051e-32,-3.611853386106921e-32,6.667608802867085e-32,4.076400001654217e-32,-1.2035350505794905e-32,5.272423493056589e-33,1.0779845020179478e-34,-4.283244736828167e-34,9.051677175792204e-34,-4.800021910531077e-34
06708,3.198410148699754e-30,-5.374745523057187e-31,-2.2808079448918355e-31,3.070997071542549e-32,3.3159542580293094e-33,6.573232102244241e-32,4.3464783807336213e-32,2.0186042469234528e-33,-5.643292353153745e-34,2.6793905998780255e-33,1.5779230841997033e-33,-4.4453003753919476e-34
06719,3.609783784871565e-30,1.814810787166449e-31,3.4741979112103797e-32,5.361280656092362e-32,-1.9381960992152874e-31,-2.1143089721563766e-32,-1.0165021117120437e-35,-1.4361003289772762e-33,-4.0035045401030164e-33,1.4423492973843542e-33,2.1728461543691715e-33,-1.073666370965182e-33
06733,1.0631649057777166e-18,1.3881433262595207e-08,2.0026507756229455e-07,2.8093197537669787e-07,4.28369562126831e-07,3.748795377720119e-07,-3.3329134795059887e-22,1.0411074946855653e-06,1.5019880817207122e-05,2.1069898153190968e-05,3.2127717159524094e-05,2.811596533286015e-05
06746,-2.9822533654708448e-30,5.382042356707363e-31,2.115999093504684e-31,2.108137580352417e-31,-2.0174340123967586e-31,-3.3262025458931376e-32,5.433832886947296e-32,-5.362143505171027e-33,-1.4687043940020527e-33,3.184316952613131e-33,3.472798470688826e-33,2.5198556517691652e-33
06779,-1.1310256000810664e-17,-2.616895270037025e-07,-1.1783600643979758e-07,-1.411857429798652e-07,5.126675783594897e-23,1.593886656400696e-23,8.054796760280309e-23,-1.678214864697896e-05,-7.5894514673135e-06,-8.97637124080451e-06,-5.086062136760474e-23,1.2968494941929075e-22
06826,7.308623014218027e-28,2.1552647570206918e-29,-1.4059364892220833e-29,6.612506018441987e-30,-1.1998309336247338e-30,-8.544792404877312e-30,-1.184380739983903e-31,1.6667443695904723e-32,3.0102591942060545e-35,4.683968563606923e-34,-2.954754816751759e-34,-2.0003330957842734e-34
06839,2.484426386195462e-30,-2.351354922191682e-31,-1.6695933436219578e-31,9.756700227510245e-32,-1.409190514079413e-31,-2.1650912479645433e-32,3.251347604274414e-32,-5.018608398540737e-33,-1.3281297216611387e-33,-4.3651362360646344e-33,-9.26260245600715e-34,6.754549751870229e-34
06840,-4.7642074630983606e-29,5.971124766428049e-31,5.0111258584684e-30,-2.9173013109737744e-30,2.3821833234761992e-31,3.2772728785984634e-31,8.844281535750345e-32,4.369108581281096e-34,-4.6067542920526497e-33,9.525096197897121e-35,-8.063477587735402e-34,9.458136109707031e-34
