PC1,PC2,pdv
-0.0659113823348998,-0.24261854918739115,CLI0024768
-0.06661485437977727,-0.24238991305524074,CLI0024771
-0.06575829294985402,-0.24239173530277935,CLI0024772
-0.06575829294985402,-0.24239173530277935,CLI0024782
-0.05531508082549143,-0.054979539475987486,CLI0024786
-4.878915529389265,-11.461691777549415,CLI0024798
-0.06575829294985402,-0.24239173530277935,CLI0024801
-0.06751516790673774,-0.23660431193701403,CLI0024831
-0.0568038329862667,-0.23515603095801635,CLI0024843
0.6691815482965154,7.240927796852952,CLI0024846
-0.06137368814125687,-0.23892984499507425,CLI0024847
-0.06575829294985402,-0.24239173530277935,CLI0024858
-0.06575829294985402,-0.24239173530277935,CLI0024862
1.3130541687028885,4.5883262822002315,CLI0024864
-0.06529032050729038,-0.2414127098447045,CLI0024868
-0.04924564015719477,-0.1998174689407107,CLI0024873
-0.058046230236746495,-0.23507833540406978,CLI0024875
-0.06575829294985402,-0.24239173530277935,CLI0024880
-0.06942090840672212,-0.23321255834514568,CLI0024882
-0.06508824808008964,-0.24002277943700298,CLI0024890
-0.07081670726485613,-0.22640605655632115,CLI0024903
-0.06575829294985402,-0.24239173530277935,CLI0024921
-0.06912122623466091,-0.24755876355152706,CLI0024929
-0.0690553310111011,-0.2540842028756254,CLI0024931
-0.0663006519633114,-0.22943777767418325,CLI0024938
-0.07342276010383793,-0.23366118876670067,CLI0024939
-0.062355592272479256,-0.2392688339612944,CLI0024940
-0.06483723972473796,-0.24337046946442278,CLI0024945
-0.060465737999121354,-0.23458472595014437,CLI0024953
-0.0682408718201943,-0.23689156332025785,CLI0024975
-0.06848533052451562,-0.2453249186934582,CLI0024980
-0.0608612421796532,-0.23992887203227486,CLI0024984
0.16974714271410296,4.620956129188736,CLI0024986
-0.6932332154129298,5.173767778095899,CLI0024989
-0.06936365198580116,-0.2457284751761687,CLI0024992
-0.06583733558661048,-0.2377289201584029,CLI0025003
0.44069217544494804,6.947363241359373,CLI0025011
-0.06384747498259964,-0.23407722394060132,CLI0025020
-0.06738890422622333,-0.22452282615330485,CLI0025024
-0.06184352820238656,-0.21695676655172985,CLI0025026
-0.06440292701843806,-0.240330175041016,CLI0025039
-0.05615545337792699,-0.2261329653678413,CLI0025041
-0.06583335577050664,-0.2426356004636754,CLI0025042
-0.06511883973228533,-0.24006287563838263,CLI0025045
-0.06967973737915555,-0.24595264436410735,CLI0025047
-0.06579115230769203,-0.2424926287083166,CLI0025059
-0.06575829294985402,-0.24239173530277935,CLI0025060
-0.06864906784934852,-0.24405617382319553,CLI0025069
-0.06017732085213323,-0.2358221880704627,CLI0025070
-0.040322353411167404,-0.1776153867865254,CLI0025073
-0.055626309438340155,-0.22545134733208919,CLI0025076
-0.060675206623627666,-0.21283792844142255,CLI0025077
-0.06575829294985402,-0.24239173530277935,CLI0025078
-0.06723538727329398,-0.24352844873224547,CLI0025084
-0.06575829294985402,-0.24239173530277935,CLI0025085
-0.07516194345344293,-0.22657120921285262,CLI0025088
-0.06731328255772998,-0.24106100297397684,CLI0025090
-0.06685919401053624,-0.2259765973781699,CLI0025102
-0.05923004878044568,-0.22525644301573294,CLI0025110
-0.06514355589494852,-0.2444673258199216,CLI0025113
-0.06312964587546806,-0.2537636206929206,CLI0025116
-0.06575829294985402,-0.24239173530277935,CLI0025118
1.6988352280848034,3.2992414890166066,CLI0025124
-0.0655199339668986,-0.24183779637125324,CLI0025127
-0.06643716628712472,-0.23388923089409863,CLI0025129
-0.06588220516115961,-0.24241940393611514,CLI0025131
-0.07534321087947421,-0.22554252743711473,CLI0025137
-0.0681390981854733,-0.24039373631263988,CLI0025139
-0.06753860397821827,-0.2362969872745746,CLI0025142
-0.060418454291314046,-0.23858576829199143,CLI0025143
-0.06575829294985402,-0.24239173530277935,CLI0025152
-0.06575829294985402,-0.24239173530277935,CLI0025177
-0.06575829294985402,-0.24239173530277935,CLI0025181
-0.06856841378140961,-0.24612976879056686,CLI0025182
-0.06639396195580949,-0.24259014715638758,CLI0025188
-0.06575829294985402,-0.24239173530277935,CLI0025190
1.8150351962042914,8.445883180723447,CLI0025199
-0.06577816617217809,-0.24189958592875382,CLI0025203
-0.04222929004674472,-0.2486386421838205,CLI0025210
-0.06575104549345999,-0.24236861952669936,CLI0025217
-0.06575829294985402,-0.24239173530277935,CLI0025220
-0.06311602482292367,-0.23490198880853772,CLI0025226
-0.06575829294985402,-0.24239173530277935,CLI0025231
-0.06566139402027335,-0.24220694405409718,CLI0025232
-0.06575829294985402,-0.24239173530277935,CLI0025233
-0.053487437460848525,-0.23500495592436438,CLI0025249
-0.06670467035845508,-0.2401407683203745,CLI0025252
11.276757169760426,9.409977901565782,CLI0025253
-0.048057821511338014,-0.2362800150340139,CLI0025255
-0.06638639073180962,-0.24216595489058523,CLI0025256
-0.06485146680036237,-0.23052470802584574,CLI0025257
-0.06575829294985402,-0.24239173530277935,CLI0025260
-0.06437208813127993,-0.23731564015150164,CLI0025261
-0.06575291188800238,-0.242412298975091,CLI0025266
-0.06092874138619686,-0.23561043531592785,CLI0025271
-0.06325911176156915,-0.2326352712620699,CLI0025279
-0.059869957192101066,-0.22211081370326724,CLI0025290
-0.06402875982829952,-0.2392023144306052,CLI0025292
1.5005620758680762,3.818813225363931,CLI0025298
-1.3660636926167946,0.4955024882836747,CLI0025301
-0.06736327727247199,-0.23338704805425325,CLI0025309
-0.06000129950094019,-0.23022778261883053,CLI0025312
-0.06110868425180577,-0.2378173074590968,CLI0025317
25.971848668128292,17.980157949607232,CLI0025326
0.34648928365903814,1.5581779752502185,CLI0025328
